business_id,ViolationTypeID,risk_category,description,business_name,business_address,business_city,business_state,inspection_id,inspection_date,inspection_type,mes,día,año,Aprobado,Observación,Clausurado
835,103139,Low Risk,Improper food storage,Kam Po Kitchen,801 Broadway St,San Francisco,CA,835_20180917,2018-09-17,Routine - Unscheduled,September,Monday,2018,True,False,False
905,103162,Low Risk,Other low risk violation,Working Girls' Cafe',0259 Kearny St,San Francisco,CA,905_20190415,2019-04-15,Routine - Unscheduled,April,Monday,2019,True,False,False
1203,103154,Low Risk,Unclean or degraded floors walls or ceilings,TAWAN'S THAI FOOD,4403 GEARY Blvd,San Francisco,CA,1203_20170803,2017-08-03,Routine - Unscheduled,August,Thursday,2017,True,False,False
1345,103132,Moderate Risk,Improper thawing methods,Cordon Bleu,1574 California St,San Francisco,CA,1345_20170928,2017-09-28,Routine - Unscheduled,September,Thursday,2017,False,True,False
1352,103144,Low Risk,Unapproved or unmaintained equipment or utensils,LA TORTILLA,495 Castro St B,San Francisco,CA,1352_20180620,2018-06-20,Routine - Unscheduled,June,Wednesday,2018,True,False,False
1652,103120,Moderate Risk,Moderate risk food holding temperature,STARBUCKS,201 03rd St,San Francisco,CA,1652_20190611,2019-06-11,Routine - Unscheduled,June,Tuesday,2019,False,True,False
1922,103143,Low Risk,Inadequate warewashing facilities or equipment,All stars Donuts,901 Clement St,San Francisco,CA,1922_20161128,2016-11-28,Complaint,November,Monday,2016,True,False,False
3019,103138,Low Risk,Improper storage use or identification of toxic substances,Tad's,120 Powell St,San Francisco,CA,3019_20190702,2019-07-02,Routine - Unscheduled,July,Tuesday,2019,True,False,False
3286,103116,Moderate Risk,Inadequate food safety knowledge or lack of certified food safety manager,Super Burrito,1200 Polk St,San Francisco,CA,3286_20190214,2019-02-14,Routine - Unscheduled,February,Thursday,2019,False,True,False
4654,103144,Low Risk,Unapproved or unmaintained equipment or utensils,House of Bagels,5030 Geary Blvd,San Francisco,CA,4654_20170425,2017-04-25,Complaint,April,Tuesday,2017,True,False,False
4900,103131,Moderate Risk,Moderate risk vermin infestation,HOME SERVICE MARKET,1700 HAYES St,San Francisco,CA,4900_20171116,2017-11-16,Routine - Unscheduled,November,Thursday,2017,False,True,False
7211,103143,Low Risk,Inadequate warewashing facilities or equipment,RELIANCE MARKET,699 Castro St,San Francisco,CA,7211_20181001,2018-10-01,Routine - Unscheduled,October,Monday,2018,True,False,False
7489,103154,Low Risk,Unclean or degraded floors walls or ceilings,GAS & SHOP,599 South Van Ness Ave,San Francisco,CA,7489_20180710,2018-07-10,Routine - Unscheduled,July,Tuesday,2018,True,False,False
34411,103143,Low Risk,Inadequate warewashing facilities or equipment,Gabby's Market & Deli,201 Harrison St C,San Francisco,CA,34411_20190913,2019-09-13,Routine - Unscheduled,September,Friday,2019,True,False,False
36758,103114,High Risk,High risk vermin infestation,UVA Enoteca,568 Haight St,San Francisco,CA,36758_20161214,2016-12-14,Routine - Unscheduled,December,Wednesday,2016,False,False,True
37060,103132,Moderate Risk,Improper thawing methods,Halu,312 08th Ave,San Francisco,CA,37060_20190507,2019-05-07,Routine - Unscheduled,May,Tuesday,2019,False,True,False
38146,103130,Moderate Risk,Inadequate sewage or wastewater disposal,San Pancho's Tacos,491 Bayshore St,San Francisco,CA,38146_20190219,2019-02-19,Routine - Unscheduled,February,Tuesday,2019,False,True,False
38798,103149,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,K's Kitchen,757 Monterey Blvd,San Francisco,CA,38798_20170928,2017-09-28,Routine - Unscheduled,September,Thursday,2017,True,False,False
61357,103157,Low Risk,Food safety certificate or food handler card not available,Smuggler's Cove,650 Gough St,San Francisco,CA,61357_20171205,2017-12-05,Routine - Unscheduled,December,Tuesday,2017,True,False,False
64738,103102,High Risk,Unclean hands or improper use of gloves,Japacurry,Public,San Francisco,CA,64738_20170124,2017-01-24,Structural Inspection,January,Tuesday,2017,False,False,True
66220,103119,Moderate Risk,Inadequate and inaccessible handwashing facilities,Izakaya Kou,1560 Fillmore St,San Francisco,CA,66220_20190418,2019-04-18,Routine - Unscheduled,April,Thursday,2019,False,True,False
67262,103148,Low Risk,No thermometers or uncalibrated thermometers,Wonglee LLC,732 Jackson St,San Francisco,CA,67262_20170706,2017-07-06,Routine - Unscheduled,July,Thursday,2017,True,False,False
67510,103147,Low Risk,Inadequate ventilation or lighting,Subway Sandwiches,215 Fremont St,San Francisco,CA,67510_20190829,2019-08-29,Routine - Unscheduled,August,Thursday,2019,True,False,False
67920,103119,Moderate Risk,Inadequate and inaccessible handwashing facilities,Noori,1924 IRVING St,San Francisco,CA,67920_20170123,2017-01-23,Routine - Unscheduled,January,Monday,2017,False,True,False
69253,103145,Low Risk,Improper storage of equipment utensils or linens,Chili Cha Cha 2,3166 24th St,San Francisco,CA,69253_20190325,2019-03-25,Routine - Unscheduled,March,Monday,2019,True,False,False
69397,103103,High Risk,High risk food holding temperature,Minna SF Group LLC,142 Minna St,San Francisco,CA,69397_20170203,2017-02-03,Routine - Unscheduled,February,Friday,2017,False,False,True
69665,103154,Low Risk,Unclean or degraded floors walls or ceilings,Shalimar Restaurant,532 Jones St,San Francisco,CA,69665_20171010,2017-10-10,Routine - Unscheduled,October,Tuesday,2017,True,False,False
69705,103149,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,Daniel's Cafe,154 Ellis St,San Francisco,CA,69705_20190212,2019-02-12,Routine - Unscheduled,February,Tuesday,2019,True,False,False
69717,103102,High Risk,Unclean hands or improper use of gloves,Craw Station,1336 09th Ave,San Francisco,CA,69717_20181004,2018-10-04,Routine - Unscheduled,October,Thursday,2018,False,False,True
69762,103124,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,Chili House Inc.,726 Clement St,San Francisco,CA,69762_20161026,2016-10-26,Routine - Unscheduled,October,Wednesday,2016,False,True,False
69895,103139,Low Risk,Improper food storage,Chipotle Mexican Grill #1857,211 Sutter St,San Francisco,CA,69895_20170228,2017-02-28,Complaint,February,Tuesday,2017,True,False,False
70137,103144,Low Risk,Unapproved or unmaintained equipment or utensils,Reveille Coffee Co.,200 Columbus St,San Francisco,CA,70137_20171201,2017-12-01,Reinspection/Followup,December,Friday,2017,True,False,False
70418,103131,Moderate Risk,Moderate risk vermin infestation,San Francisco Cooking School,690 Van Ness Ave,San Francisco,CA,70418_20180504,2018-05-04,Routine - Unscheduled,May,Friday,2018,False,True,False
70779,103153,Low Risk,Inadequate dressing rooms or improper storage of personal items,Davids Tea,845 Market St #13,San Francisco,CA,70779_20190129,2019-01-29,Routine - Unscheduled,January,Tuesday,2019,True,False,False
70912,103157,Low Risk,Food safety certificate or food handler card not available,Folsom Street Foundry,1425 Folsom St,San Francisco,CA,70912_20190705,2019-07-05,Routine - Unscheduled,July,Friday,2019,True,False,False
71187,103135,Low Risk,No person in charge of food facility,Juicy Fruit,768 Jackson St,San Francisco,CA,71187_20171229,2017-12-29,Routine - Unscheduled,December,Friday,2017,True,False,False
71327,103119,Moderate Risk,Inadequate and inaccessible handwashing facilities,TableTop Tap House,175 04th St,San Francisco,CA,71327_20190415,2019-04-15,Routine - Unscheduled,April,Monday,2019,False,True,False
71803,103119,Moderate Risk,Inadequate and inaccessible handwashing facilities,Charles Chocolates,535 Florida St,San Francisco,CA,71803_20181213,2018-12-13,Routine - Unscheduled,December,Thursday,2018,False,True,False
74869,103120,Moderate Risk,Moderate risk food holding temperature,Sabrosa,3200 Fillmore St,San Francisco,CA,74869_20171205,2017-12-05,Routine - Unscheduled,December,Tuesday,2017,False,True,False
75306,103154,Low Risk,Unclean or degraded floors walls or ceilings,Cafe Murano,1777 Steiner St,San Francisco,CA,75306_20180430,2018-04-30,Routine - Unscheduled,April,Monday,2018,True,False,False
76784,103119,Moderate Risk,Inadequate and inaccessible handwashing facilities,Capital Restaurant,839 Clay,San Francisco,CA,76784_20181204,2018-12-04,Reinspection/Followup,December,Tuesday,2018,False,True,False
77173,103152,Low Risk,Unclean unmaintained or improperly constructed toilet facilities,Tamashi,1849 Union St,San Francisco,CA,77173_20170515,2017-05-15,Routine - Unscheduled,May,Monday,2017,True,False,False
77548,103139,Low Risk,Improper food storage,Poc-Chuc Restaurant,2886 16th St,San Francisco,CA,77548_20181205,2018-12-05,Routine - Unscheduled,December,Wednesday,2018,True,False,False
77559,103102,High Risk,Unclean hands or improper use of gloves,Union Larder,1945 Hyde St,San Francisco,CA,77559_20180223,2018-02-23,Routine - Unscheduled,February,Friday,2018,False,False,True
77731,103120,Moderate Risk,Moderate risk food holding temperature,Souvla,517 Hayes St,San Francisco,CA,77731_20170403,2017-04-03,Routine - Unscheduled,April,Monday,2017,False,True,False
78328,103154,Low Risk,Unclean or degraded floors walls or ceilings,Golden Wok,295 B Orizaba Ave,San Francisco,CA,78328_20170720,2017-07-20,Routine - Unscheduled,July,Thursday,2017,True,False,False
78747,103124,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,Palm House,2032 Union St,San Francisco,CA,78747_20181101,2018-11-01,Routine - Unscheduled,November,Thursday,2018,False,True,False
78934,103139,Low Risk,Improper food storage,Koja Kitchen CA01,343 Clement St,San Francisco,CA,78934_20180723,2018-07-23,Complaint,July,Monday,2018,True,False,False
79052,103149,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,Street Taco,1607 Haight St,San Francisco,CA,79052_20181105,2018-11-05,Routine - Unscheduled,November,Monday,2018,True,False,False
79248,103131,Moderate Risk,Moderate risk vermin infestation,Ha Nam Ninh Restaurant,701 Larkin St,San Francisco,CA,79248_20190305,2019-03-05,Routine - Unscheduled,March,Tuesday,2019,False,True,False
79821,103123,Moderate Risk,Food in poor condition,Perilla Vietnamese Cuisine,836 Irving St,San Francisco,CA,79821_20180821,2018-08-21,Routine - Unscheduled,August,Tuesday,2018,False,True,False
80236,103144,Low Risk,Unapproved or unmaintained equipment or utensils,Spinnerie,1401 Polk St,San Francisco,CA,80236_20170809,2017-08-09,Routine - Unscheduled,August,Wednesday,2017,True,False,False
81170,103116,Moderate Risk,Inadequate food safety knowledge or lack of certified food safety manager,Limon Rotisserie,5800 03rd St  1004,San Francisco,CA,81170_20170821,2017-08-21,Complaint,August,Monday,2017,False,True,False
81667,103132,Moderate Risk,Improper thawing methods,Crazy Pepper,2257 San Jose Ave,San Francisco,CA,81667_20170426,2017-04-26,Routine - Unscheduled,April,Wednesday,2017,False,True,False
81866,103109,High Risk,Unclean or unsanitary food contact surfaces,Woori Food Market,1528 Fillmore St,San Francisco,CA,81866_20190124,2019-01-24,Routine - Unscheduled,January,Thursday,2019,False,False,True
82656,103105,High Risk,Improper cooling methods,The Pin Up,772 Folsom St,San Francisco,CA,82656_20170411,2017-04-11,Routine - Unscheduled,April,Tuesday,2017,False,False,True
82880,103154,Low Risk,Unclean or degraded floors walls or ceilings,Don Pablo,Off The Grid,San Francisco,CA,82880_20170530,2017-05-30,Routine - Unscheduled,May,Tuesday,2017,True,False,False
83636,103144,Low Risk,Unapproved or unmaintained equipment or utensils,Sam's Chowder Mobile #4,Off The Grid,San Francisco,CA,83636_20181109,2018-11-09,Routine - Unscheduled,November,Friday,2018,True,False,False
83822,103154,Low Risk,Unclean or degraded floors walls or ceilings,Pescatore,2455 Mason St,San Francisco,CA,83822_20190425,2019-04-25,Routine - Unscheduled,April,Thursday,2019,True,False,False
83889,103157,Low Risk,Food safety certificate or food handler card not available,Earthbar,747 Market St,San Francisco,CA,83889_20161214,2016-12-14,Routine - Unscheduled,December,Wednesday,2016,True,False,False
